image_url,id,w_cm,idx,color,proportion,color_name
"14427407.jpg",14427407,"2.5",1,"#9f9d9f",0.06773333333,"gray","Profile of Lenin pin"
"14427407.jpg",14427407,"2.5",1,"#9f9d9f",0.06773333333,"gray","Profile of Lenin pin"
"14427407.jpg",14427407,"2.5",1,"#9f9d9f",0.06773333333,"gray","Profile of Lenin pin"
"14427407.jpg",14427407,"2.5",1,"#9f9d9f",0.06773333333,"gray","Profile of Lenin pin"
"14427409.jpg",14427409,"5.5",1,"#aa0f27",0.1331222222,"brown","Bobby Leo congress"
"14427409.jpg",14427409,"5.5",1,"#aa0f27",0.1331222222,"brown","Bobby Leo congress"
"14427409.jpg",14427409,"5.5",1,"#aa0f27",0.1331222222,"brown","Bobby Leo congress"
"14427409.jpg",14427409,"5.5",1,"#aa0f27",0.1331222222,"brown","Bobby Leo congress"
"14427409.jpg",14427409,"5.5",1,"#aa0f27",0.1331222222,"brown","Bobby Leo congress"
"14427410.jpg",14427410,"4",1,"#2d2d2a",0.4562111111,"black","Levin"
"14427410.jpg",14427410,"4",1,"#2d2d2a",0.4562111111,"black","Levin"
"14427410.jpg",14427410,"4",1,"#2d2d2a",0.4562111111,"black","Levin"
"14427410.jpg",14427410,"4",1,"#2d2d2a",0.4562111111,"black","Levin"
"14427410.jpg",14427410,"4",1,"#2d2d2a",0.4562111111,"black","Levin"
"14427404.jpg",14427404,"4",1,"#15639d",0.1238,"gray","Christina Lehrich School Committee"
"14427404.jpg",14427404,"4",1,"#15639d",0.1238,"gray","Christina Lehrich School Committee"
"14427404.jpg",14427404,"4",1,"#15639d",0.1238,"gray","Christina Lehrich School Committee"
"14427404.jpg",14427404,"4",1,"#15639d",0.1238,"gray","Christina Lehrich School Committee"
"14427404.jpg",14427404,"4",1,"#15639d",0.1238,"gray","Christina Lehrich School Committee"
"14427411.jpg",14427411,"4.3",1,"#626494",0.02003333333,"gray","Re-elect Lewis Senator"
"14427411.jpg",14427411,"4.3",1,"#626494",0.02003333333,"gray","Re-elect Lewis Senator"
"14427411.jpg",14427411,"4.3",1,"#626494",0.02003333333,"gray","Re-elect Lewis Senator"
"14427411.jpg",14427411,"4.3",1,"#626494",0.02003333333,"gray","Re-elect Lewis Senator"
"14427411.jpg",14427411,"4.3",1,"#626494",0.02003333333,"gray","Re-elect Lewis Senator"
