filename,hex_code,R,G,B,color_name
color_228.png,#c1bb9e,193,187,158,tan
color_229.png,#a41e25,164,30,37,brown
color_230.png,#b98776,185,135,118,rosybrown
color_231.png,#1f1f1f,31,31,31,black
color_232.png,#c5c4cc,197,196,204,silver
color_233.png,#8a3e53,138,62,83,sienna
color_234.png,#29688f,41,104,143,teal
color_235.png,#868298,134,130,152,lightslategray
color_236.png,#0f78a9,15,120,169,darkcyan
color_237.png,#ccc8c1,204,200,193,silver
color_238.png,#242423,36,36,35,black
color_239.png,#68a7bf,104,167,191,cadetblue
color_240.png,#b8818c,184,129,140,rosybrown
color_241.png,#8d4821,141,72,33,saddlebrown
color_242.png,#171615,23,22,21,black
color_243.png,#a2954b,162,149,75,peru
color_244.png,#b4a562,180,165,98,darkkhaki
color_245.png,#9f7524,159,117,36,sienna
color_246.png,#bec2cd,190,194,205,silver
color_247.png,#278cae,39,140,174,steelblue
color_248.png,#83267d,131,38,125,purple
color_249.png,#cbc214,203,194,20,goldenrod
color_250.png,#222c34,34,44,52,darkslategray
color_251.png,#acacb3,172,172,179,darkgray
color_252.png,#222120,34,33,32,black
color_253.png,#b08236,176,130,54,peru
color_254.png,#655d50,101,93,80,dimgray
color_255.png,#bdbcc3,189,188,195,silver
color_256.png,#232152,35,33,82,midnightblue
color_257.png,#cbc7bd,203,199,189,silver
color_258.png,#222122,34,33,34,black
color_259.png,#9191a1,145,145,161,lightslategray
color_260.png,#565676,86,86,118,dimgray
color_261.png,#b38a9b,179,138,155,rosybrown
color_262.png,#232223,35,34,35,black
color_263.png,#ae3c42,174,60,66,brown
color_264.png,#465688,70,86,136,darkslateblue
color_265.png,#cfcfe4,207,207,228,lightgray
color_266.png,#1f1f1e,31,31,30,black
color_267.png,#504f5d,80,79,93,darkslategray
color_268.png,#232539,35,37,57,darkslategray
color_269.png,#9b394b,155,57,75,brown
color_270.png,#437da1,67,125,161,steelblue
color_271.png,#7d5f7c,125,95,124,dimgray
color_272.png,#201f1f,32,31,31,black
color_273.png,#684167,104,65,103,dimgray
color_274.png,#9f93a2,159,147,162,darkgray
color_275.png,#4d324f,77,50,79,darkslategray
color_276.png,#232121,35,33,33,black
color_277.png,#ddd8d5,221,216,213,gainsboro
color_278.png,#3846a2,56,70,162,darkslateblue
color_279.png,#d25157,210,81,87,indianred
color_280.png,#8e92bd,142,146,189,darkgray
color_281.png,#aeaeb4,174,174,180,darkgray
color_282.png,#201f1f,32,31,31,black
color_283.png,#af8130,175,129,48,peru
color_284.png,#c3c1cb,195,193,203,silver
color_285.png,#2e6268,46,98,104,darkslategray
color_286.png,#d01f36,208,31,54,crimson
color_287.png,#222122,34,33,34,black
color_288.png,#d4c9d2,212,201,210,lightgray
color_289.png,#2e2d84,46,45,132,darkslateblue
color_290.png,#cc798e,204,121,142,palevioletred
color_291.png,#212022,33,32,34,black
color_292.png,#c9c7d3,201,199,211,lightgray
color_293.png,#746c77,116,108,119,dimgray
color_294.png,#8d2630,141,38,48,brown
color_295.png,#b3b1ba,179,177,186,silver
color_296.png,#dddfe7,221,223,231,gainsboro
color_297.png,#30488d,48,72,141,darkslateblue
color_298.png,#cc494a,204,73,74,indianred
color_299.png,#222325,34,35,37,black
color_300.png,#8191bc,129,145,188,lightslategray
color_301.png,#202c5c,32,44,92,midnightblue
color_302.png,#b8bac2,184,186,194,silver
color_303.png,#1f1f1f,31,31,31,black
color_304.png,#5c6485,92,100,133,dimgray
color_305.png,#761f35,118,31,53,brown
color_306.png,#b5acbe,181,172,190,silver
color_307.png,#252425,37,36,37,darkslategray
color_308.png,#ed3949,237,57,73,crimson
color_309.png,#43499a,67,73,154,darkslateblue
color_310.png,#dfdce1,223,220,225,gainsboro
color_311.png,#c1bfc5,193,191,197,silver
color_312.png,#202020,32,32,32,black
color_313.png,#727483,114,116,131,slategray
color_314.png,#343d68,52,61,104,darkslategray
color_315.png,#aaa9b0,170,169,176,darkgray
color_316.png,#1c4785,28,71,133,darkslateblue
color_317.png,#9ba1af,155,161,175,darkgray
color_318.png,#222223,34,34,35,black
color_319.png,#546b93,84,107,147,slategray
color_320.png,#d2cfcb,210,207,203,lightgray
color_321.png,#5c6e85,92,110,133,slategray
color_322.png,#1f1f1f,31,31,31,black
color_323.png,#113e69,17,62,105,midnightblue
color_324.png,#aeb0be,174,176,190,darkgray
color_325.png,#9b8932,155,137,50,darkgoldenrod
color_326.png,#222020,34,32,32,black
color_327.png,#3a6089,58,96,137,darkslateblue
color_328.png,#a8acbe,168,172,190,darkgray
color_329.png,#094682,9,70,130,midnightblue
color_330.png,#6984a6,105,132,166,lightslategray
color_331.png,#bf4141,191,65,65,sienna
color_332.png,#272734,39,39,52,darkslategray
color_333.png,#cba07f,203,160,127,tan
color_334.png,#34547d,52,84,125,darkslateblue
color_335.png,#ddd3cd,221,211,205,lightgray
color_336.png,#242223,36,34,35,black
color_337.png,#d0bfbe,208,191,190,silver
color_338.png,#6e585b,110,88,91,dimgray
color_339.png,#c55366,197,83,102,indianred
color_340.png,#283e6f,40,62,111,darkslategray
color_341.png,#bfbfce,191,191,206,silver
color_342.png,#222323,34,35,35,black
color_343.png,#7f2934,127,41,52,brown
color_344.png,#a9a5b1,169,165,177,darkgray
color_345.png,#77666e,119,102,110,dimgray
color_346.png,#8b7073,139,112,115,gray
color_347.png,#222121,34,33,33,black
color_348.png,#b62c3e,182,44,62,brown
color_349.png,#483f40,72,63,64,darkslategray
color_350.png,#aba5a8,171,165,168,darkgray
color_351.png,#1f1f22,31,31,34,black
color_352.png,#9f4f27,159,79,39,sienna
color_353.png,#6a574c,106,87,76,dimgray
color_354.png,#8a8372,138,131,114,gray
color_355.png,#34373d,52,55,61,darkslategray
color_356.png,#8bc021,139,192,33,yellowgreen
color_357.png,#222321,34,35,33,black
color_358.png,#443a55,68,58,85,darkslategray
color_359.png,#677647,103,118,71,darkolivegreen
color_360.png,#d1cd9f,209,205,159,tan
color_361.png,#b9b7c0,185,183,192,silver
color_362.png,#202225,32,34,37,black
color_363.png,#af2a32,175,42,50,brown
color_364.png,#cbc9d5,203,201,213,lightgray
color_365.png,#8d7581,141,117,129,gray
color_366.png,#26262b,38,38,43,darkslategray
color_367.png,#2d5e99,45,94,153,darkslateblue
color_368.png,#93959e,147,149,158,lightslategray
color_369.png,#69535c,105,83,92,dimgray
color_370.png,#c2c1c8,194,193,200,silver
color_371.png,#aaa8b0,170,168,176,darkgray
color_372.png,#202020,32,32,32,black
color_373.png,#993740,153,55,64,brown
color_374.png,#47496a,71,73,106,darkslateblue
color_375.png,#c1c0ca,193,192,202,silver
color_376.png,#202020,32,32,32,black
color_377.png,#bebdc1,190,189,193,silver
color_378.png,#1e3363,30,51,99,midnightblue
color_379.png,#9c323e,156,50,62,brown
color_380.png,#807c8e,128,124,142,gray
color_381.png,#252323,37,35,35,black
color_382.png,#b0837e,176,131,126,rosybrown
color_383.png,#4a457a,74,69,122,darkslateblue
color_384.png,#c1adad,193,173,173,darkgray
color_385.png,#b34f4c,179,79,76,indianred
color_386.png,#473367,71,51,103,darkslateblue
color_387.png,#d1c499,209,196,153,tan
color_388.png,#88b91d,136,185,29,yellowgreen
color_389.png,#242423,36,36,35,black
color_390.png,#766d6c,118,109,108,dimgray
color_391.png,#1f1f1f,31,31,31,black
color_392.png,#4c96b4,76,150,180,steelblue
color_393.png,#a7b8ca,167,184,202,lightsteelblue
color_394.png,#183765,24,55,101,midnightblue
color_395.png,#b8933b,184,147,59,peru
color_396.png,#6e9ab9,110,154,185,cadetblue
color_397.png,#212121,33,33,33,black
color_398.png,#d0d3e2,208,211,226,lightgray
color_399.png,#1289bd,18,137,189,lightseagreen
color_400.png,#183f64,24,63,100,darkslategray
color_401.png,#4c2a63,76,42,99,darkslateblue
color_402.png,#cccbd6,204,203,214,lightgray
color_403.png,#1f1f1f,31,31,31,black
color_404.png,#8d6561,141,101,97,dimgray
color_405.png,#b5b3bc,181,179,188,silver
color_406.png,#1a2136,26,33,54,darkslategray
color_407.png,#dad7d5,218,215,213,lightgray
color_408.png,#dc2534,220,37,52,crimson
