"filename","image_url","name","office","party","date_int","w_cm","color_name"
"14022878.jpg","https://tracy-st.github.io/hks-political-buttons/images/14022878.jpg","Elect Geroge V. Brown Jr. Representative","Representative",,,,
"14022877.jpg","https://tracy-st.github.io/hks-political-buttons/images/14022877.jpg","Brown for President","President","Democrat",1976,,
"14022876.jpg","https://tracy-st.github.io/hks-political-buttons/images/14022876.jpg","Brown '76","President","Democrat",1976,,
"14022875.jpg","https://tracy-st.github.io/hks-political-buttons/images/14022875.jpg","Brown","President","Democrat",1976,,
"14022874.jpg","https://tracy-st.github.io/hks-political-buttons/images/14022874.jpg","Brown","President","Democrat",1976,,
"14022873.jpg","https://tracy-st.github.io/hks-political-buttons/images/14022873.jpg","Brown","President","Democrat",1976,,
"14022872.jpg","https://tracy-st.github.io/hks-political-buttons/images/14022872.jpg","Brown","President","Democrat",1976,,
"14022871.jpg","https://tracy-st.github.io/hks-political-buttons/images/14022871.jpg","Proudly for Brooke a Creative Republican","Senate","Republican",1966,,
"14022870.jpg","https://tracy-st.github.io/hks-political-buttons/images/14022870.jpg","I'm for Brooke","Senate","Republican",1966,,
"14022869.jpg","https://tracy-st.github.io/hks-political-buttons/images/14022869.jpg","I Believe in Brooke","Senate","Republican",1966,,
"14022868.jpg","https://tracy-st.github.io/hks-political-buttons/images/14022868.jpg","I Believe in Brooke","Senate","Republican",1966,,
"14022867.jpg","https://tracy-st.github.io/hks-political-buttons/images/14022867.jpg","Brooke United States Senator","Senate","Republican",1966,,
"14022866.jpg","https://tracy-st.github.io/hks-political-buttons/images/14022866.jpg","Brooke United States Senator","Senate","Republican",1966,,
"14022865.jpg","https://tracy-st.github.io/hks-political-buttons/images/14022865.jpg","Brooke United States Senator","Senate","Republican",1966,,
"14022864.jpg","https://tracy-st.github.io/hks-political-buttons/images/14022864.jpg","Brooke","Senate","Republican",1966,,
"14022863.jpg","https://tracy-st.github.io/hks-political-buttons/images/14022863.jpg","Brodhead","Congress","Republican",2012,,
"14022862.jpg","https://tracy-st.github.io/hks-political-buttons/images/14022862.jpg","Brock U.S. Senate","Senate","Republican",1970,,
"14022861.jpg","https://tracy-st.github.io/hks-political-buttons/images/14022861.jpg","Jim Brett Representative","State Representative",,,,
"14022860.jpg","https://tracy-st.github.io/hks-political-buttons/images/14022860.jpg","Jim Brett City Council","City Council",,,,
"14022859.jpg","https://tracy-st.github.io/hks-political-buttons/images/14022859.jpg","Elect Frederick R. Borelli Boston School Committee","School Committee",,,,
"14022858.jpg","https://tracy-st.github.io/hks-political-buttons/images/14022858.jpg","Bonior for Congress","Congress","Democrat",1978,,
"14022857.jpg","https://tracy-st.github.io/hks-political-buttons/images/14022857.jpg","Pat Bonner-Lyons For School Committee Vote November 6th","School Committee",,1973,,
"14022856.jpg","https://tracy-st.github.io/hks-political-buttons/images/14022856.jpg","Pat Bonner-Lyons For School Committee: Schools for the People","School Committee",,1973,,
"14022855.jpg","https://tracy-st.github.io/hks-political-buttons/images/14022855.jpg","Pat Bonner-Lyons For School Committee: Save the Children","School Committee",,1973,,
"14022854.jpg","https://tracy-st.github.io/hks-political-buttons/images/14022854.jpg","Keep Rolling with Bolling senator","State Senate","Republican",1999,,
"14022853.jpg","https://tracy-st.github.io/hks-political-buttons/images/14022853.jpg","Re-elect Cale Boggs U.S. Senator","Senate","Republican",1966,,
"14022852.jpg","https://tracy-st.github.io/hks-political-buttons/images/14022852.jpg","Elect Blackbird selectman","Selectman",,,,
"14022851.jpg","https://tracy-st.github.io/hks-political-buttons/images/14022851.jpg","Bilandic for Mayor","Mayor","Democrat",1977,,
"14022850.jpg","https://tracy-st.github.io/hks-political-buttons/images/14022850.jpg","New Leadership for America: Biden of Delaware","Senate","Democrat",1972,,
"14022849.jpg","https://tracy-st.github.io/hks-political-buttons/images/14022849.jpg","Biden U.S. Senate","Senate","Democrat",1972,,
"14022848.jpg","https://tracy-st.github.io/hks-political-buttons/images/14022848.jpg","Biaggi for Mayor","Mayor","Democrat",1973,,
"14022847.jpg","https://tracy-st.github.io/hks-political-buttons/images/14022847.jpg","Biaggi (text in Hebrew)","Mayor","Democrat",1973,,
"14022846.jpg","https://tracy-st.github.io/hks-political-buttons/images/14022846.jpg","Berner","State Representative","Green",2012,,
"14022845.jpg","https://tracy-st.github.io/hks-political-buttons/images/14022845.jpg","Bergland","President","Libertarian",1984,,
"14022844.jpg","https://tracy-st.github.io/hks-political-buttons/images/14022844.jpg","Bentsen in 76","President","Democrat",1976,,
"14022843.jpg","https://tracy-st.github.io/hks-political-buttons/images/14022843.jpg","Bentsen","President","Democrat",1976,,
"14022842.jpg","https://tracy-st.github.io/hks-political-buttons/images/14022842.jpg","Belmonte belongs in Congress","Congress",,,,
"14022841.jpg","https://tracy-st.github.io/hks-political-buttons/images/14022841.jpg","FXB Bellotti",,"Democrat",,,
"14022840.jpg","https://tracy-st.github.io/hks-political-buttons/images/14022840.jpg","FXB Bellotti",,"Democrat",,,
"14022839.jpg","https://tracy-st.github.io/hks-political-buttons/images/14022839.jpg","FXB Bellotti",,"Democrat",,,
"14022838.jpg","https://tracy-st.github.io/hks-political-buttons/images/14022838.jpg","Frank Bellotti: He's on your side.",,"Democrat",,,
"14022837.jpg","https://tracy-st.github.io/hks-political-buttons/images/14022837.jpg","Frank Bellotti: He's on your side.",,"Democrat",,,
"14022836.jpg","https://tracy-st.github.io/hks-political-buttons/images/14022836.jpg","Belotti",,"Democrat",,,
"14022835.jpg","https://tracy-st.github.io/hks-political-buttons/images/14022835.jpg","Belotti",,"Democrat",,,
"14022834.jpg","https://tracy-st.github.io/hks-political-buttons/images/14022834.jpg","Belotti",,"Democrat",,,
"14022833.jpg","https://tracy-st.github.io/hks-political-buttons/images/14022833.jpg","Bellotti Attorney General","Attorney General","Democrat",1974,,
"14022832.jpg","https://tracy-st.github.io/hks-political-buttons/images/14022832.jpg","Attorney General Bellotti","Attorney General","Democrat",1974,,
"14022831.jpg","https://tracy-st.github.io/hks-political-buttons/images/14022831.jpg","Susan B. Anthony Would Vote for Birch Bayh","President","Democrat",1976,,
"14022830.jpg","https://tracy-st.github.io/hks-political-buttons/images/14022830.jpg","N.Y. for Bayh","President","Democrat",1976,,
"14022829.jpg","https://tracy-st.github.io/hks-political-buttons/images/14022829.jpg","I'm bayh-ased","President","Democrat",1976,,
"14022828.jpg","https://tracy-st.github.io/hks-political-buttons/images/14022828.jpg","I'm Bayh Partisan","President","Democrat",1976,,
"14022827.jpg","https://tracy-st.github.io/hks-political-buttons/images/14022827.jpg","I'm Bayh Partisan","President","Democrat",1976,,
"14022826.jpg","https://tracy-st.github.io/hks-political-buttons/images/14022826.jpg","Birch Bayh!","President","Democrat",1976,,
"14022825.jpg","https://tracy-st.github.io/hks-political-buttons/images/14022825.jpg","Birch Bayh in '76","President","Democrat",1976,,
"14022824.jpg","https://tracy-st.github.io/hks-political-buttons/images/14022824.jpg","Birch Bayh '76","President","Democrat",1976,,
"14022823.jpg","https://tracy-st.github.io/hks-political-buttons/images/14022823.jpg","Birch Bayh '76","President","Democrat",1976,,
"14022822.jpg","https://tracy-st.github.io/hks-political-buttons/images/14022822.jpg","Bayh 76","President","Democrat",1976,,
"14022821.jpg","https://tracy-st.github.io/hks-political-buttons/images/14022821.jpg","Bayh","President","Democrat",1976,,
"14022820.jpg","https://tracy-st.github.io/hks-political-buttons/images/14022820.jpg","Bayh","President","Democrat",1976,,
"14022819.jpg","https://tracy-st.github.io/hks-political-buttons/images/14022819.jpg","David Bartley U.S. Senator","Senate","Democrat",1984,,
"14022818.jpg","https://tracy-st.github.io/hks-political-buttons/images/14022818.jpg","David Bartley U.S. Senator","Senate","Democrat",1984,,
"14022817.jpg","https://tracy-st.github.io/hks-political-buttons/images/14022817.jpg","Bartley","Senate","Democrat",1984,,
"14022816.jpg","https://tracy-st.github.io/hks-political-buttons/images/14022816.jpg","Bartley","Senate","Democrat",1984,,
"14022815.jpg","https://tracy-st.github.io/hks-political-buttons/images/14022815.jpg","Vote Barrus State Senator","State Senate","Republican",,,
"14022814.jpg","https://tracy-st.github.io/hks-political-buttons/images/14022814.jpg","Baker President","President",,,,
"14022813.jpg","https://tracy-st.github.io/hks-political-buttons/images/14022813.jpg","Bill Baird for U.S. Senate A Man of Action","Senate","Independent",1970,,
"14022812.jpg","https://tracy-st.github.io/hks-political-buttons/images/14022812.jpg","We Need Senator Backman","State Senate","Democrat",1970,,
"14022811.jpg","https://tracy-st.github.io/hks-political-buttons/images/14022811.jpg","Jack","State Senate","Democrat",1970,,
"14022810.jpg","https://tracy-st.github.io/hks-political-buttons/images/14022810.jpg","Backman","State Senate","Democrat",1970,,
"14022809.jpg","https://tracy-st.github.io/hks-political-buttons/images/14022809.jpg","Backman: Back Jack State Senator","State Senate","Democrat",1970,,
"14022808.jpg","https://tracy-st.github.io/hks-political-buttons/images/14022808.jpg","Back Jack State Senator","State Senate","Democrat",1970,,
"14022807.jpg","https://tracy-st.github.io/hks-political-buttons/images/14022807.jpg","George Bachrach State Senate","State Senate","Democrat",1980,,
"14022806.jpg","https://tracy-st.github.io/hks-political-buttons/images/14022806.jpg","Austin for Senate: A Democrat","Senate","Democrat",1976,,
"14022805.jpg","https://tracy-st.github.io/hks-political-buttons/images/14022805.jpg","Tom Atkins!","Mayor",,1970,,
"14022804.jpg","https://tracy-st.github.io/hks-political-buttons/images/14022804.jpg","Atkins","Congress","Democrat",1984,,
"14022803.jpg","https://tracy-st.github.io/hks-political-buttons/images/14022803.jpg","Chet Atkins for Congress","Congress","Democrat",1984,,
"14022802.jpg","https://tracy-st.github.io/hks-political-buttons/images/14022802.jpg","Athy County Treasurer","County Treasurer",,1972,,
"14022801.jpg","https://tracy-st.github.io/hks-political-buttons/images/14022801.jpg","Askew for President","President","Democrat",1984,,
"14022800.jpg","https://tracy-st.github.io/hks-political-buttons/images/14022800.jpg","Ashbrook for America","President","Republican",1972,,
"14022799.jpg","https://tracy-st.github.io/hks-political-buttons/images/14022799.jpg","Ashbrook","President","Republican",1972,,
"14022798.jpg","https://tracy-st.github.io/hks-political-buttons/images/14022798.jpg","Stanley Arnold Vice President","Vice President","Democrat",1972,,
"14022797.jpg","https://tracy-st.github.io/hks-political-buttons/images/14022797.jpg","Stanley Arnold for Vice President","Vice President","Democrat",1972,,
